"papel","cotacao","pl","pvp","psr","div_yield","p_ativo","p_cap_giro","p_ebit","p_ativ_circ_liq","ev_ebit","mrg_ebit","mrg_liq","liq_corr","roic","roe","liq_2meses","patrim_liq","div_brut_patrim","cresc_rec_5a","setor","subsetor","empresa","tipo"
"BNCA3","70,30","-90,30","2,45","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,72%","0,00","3.068.150.000,00","0,00","2,41%","Financeiros","Bancos","NOSSA CAIXA-NOSSO BANCO ON","ON"
"SEDU3","16,89","-80,31","5,44","2,405","0,00%","1,342","-28,23","44,61","-3,98","55,82","5,39%","-3,05%","0,90","4,08%","-6,78%","614.659,00","813.572.000,00","1,95","16,30%","Mídia","Jornais, Livros e Revistas","SOMOS EDUCA ON","ON"
"USIM3","11,38","-78,45","1,03","1,532","0,00%","0,548","3,23","18,64","-3,53","25,15","8,22%","-0,19%","2,94","3,27%","-1,31%","577.916,00","13.840.800.000,00","0,50","-9,74%","Siderurgia e Metalurgia","Siderurgia","USIMINAS ON N1","ON N1"
"AMIL3","32,20","-73,28","7,70","1,129","0,00%","2,003","-16,95","136,58","-5,43","138,61","0,83%","-1,53%","0,75","2,22%","-10,51%","0,00","1.532.980.000,00","1,24","28,47%","Saúde","Serviços Médico - Hospitalares, Análises e Diagnósticos","AMIL ON NM","ON NM"
"BTTL3","13,49","-69,43","1,40","1,226","0,00%","0,767","-26,94","-10,17","-2,55","-11,46","-12,06%","-1,77%","0,84","-8,10%","-2,02%","52.471,80","147.555.000,00","0,21","-39,75%","Holdings Diversificadas","Holdings Diversificadas","APABA ON","ON"
"PRGA4","75,00","-68,41","5,36","1,850","0,00%","1,267","7,27","44,87","-4,21","55,96","4,12%","-2,67%","1,62","4,17%","-7,84%","0,00","11.361.900.000,00","2,11","2,80%","Alimentos","Carnes e Derivados","BRF Foods PN N1","PN N1"
"BRTP3","35,71","-67,26","2,45","1,168","0,00%","0,684","8,98","6,03","-2,40","7,55","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%","Telefonia Fixa","Telefonia Fixa","BRASIL TELECOM PARTICIPAÇÕES S.A. ON N1","ON N1"
"AGRO3","13,10","-67,21","1,13","5,910","6,30%","0,878","20,39","-44,48","-23,14","-50,44","-13,29%","-8,79%","1,30","-2,15%","-1,69%","2.550.740,00","656.969.000,00","0,18","4,81%","Exploração de Imóveis","Exploração de Imóveis","BRASILAGRO ON NM","ON NM"
"TUPY4","48,21","-65,04","3,41","2,093","0,00%","1,474","5,70","36,01","-14,19","40,00","5,81%","-3,22%","2,26","5,85%","-5,25%","0,00","2.036.180.000,00","0,89","3,56%","Material de Transporte","Material Rodoviário","TUPY PN","PN"
"USIM5","9,35","-64,45","0,85","1,259","0,00%","0,450","2,65","15,32","-2,90","21,83","8,22%","-0,19%","2,94","3,27%","-1,31%","172.323.000,00","13.840.800.000,00","0,50","-9,74%","Siderurgia e Metalurgia","Siderurgia","USIMINAS PNA N1","PNA N1"
"USIM6","9,00","-62,04","0,81","1,212","0,00%","0,433","2,55","14,74","-2,79","21,25","8,22%","-0,19%","2,94","3,27%","-1,31%","4.944,11","13.840.800.000,00","0,50","-9,74%","Siderurgia e Metalurgia","Siderurgia","USIMINAS PNB N1","PNB N1"
"CYRE3","14,01","-61,12","0,95","1,860","0,67%","0,494","1,10","66,16","2,20","88,51","2,81%","-0,03%","3,04","0,88%","-1,56%","31.355.500,00","5.879.870.000,00","0,57","-14,99%","Construção e Engenharia","Construção Civil","CYRELA BRAZIL REALTY PN","PN"
"CPRE3","13,35","-60,80","1,60","3,753","0,00%","0,535","-11,05","10,30","-0,95","18,89","36,43%","-5,73%","0,66","5,65%","-2,63%","399.123,00","4.194.470.000,00","1,52","16,87%","Energia Elétrica","Energia Elétrica","CPFL RENOVAV ON NM","ON NM"
"RAPT4","7,45","-58,61","1,80","1,029","0,59%","0,543","1,49","35,19","14,81","42,34","2,92%","0,56%","2,37","2,58%","-3,06%","10.861.600,00","1.434.180.000,00","1,51","-11,31%","Material de Transporte","Material Rodoviário","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1","PN N1"
"PEFX3","19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%","Químicos","Petroquímicos","PETROFLEX INDÚSTRIA E COMÉRCIO S.A ON","ON"
"PEFX5","19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%","Químicos","Petroquímicos","PETROFLEX INDÚSTRIA E COMÉRCIO S.A PNA","PNA"
"BTTL4","9,99","-51,42","1,04","0,908","0,00%","0,568","-19,95","-7,53","-1,89","-8,82","-12,06%","-1,77%","0,84","-8,10%","-2,02%","61.555,60","147.555.000,00","0,21","-39,75%","Holdings Diversificadas","Holdings Diversificadas","APABA PN","PN"
"LLIS3","41,90","-48,17","1,16","1,586","0,00%","0,640","-39,50","6,99","-3,10","9,61","22,68%","-2,16%","0,94","10,59%","-2,42%","122.035,00","1.679.710.000,00","0,55","91,48%","Comércio","Tecidos, Vestuário e Calçados","LE LIS BLANC DEUX ON","ON"
"BRML3","13,80","-46,72","1,09","9,370","0,34%","0,581","23,80","13,38","-2,01","15,67","70,04%","-21,86%","1,20","4,96%","-2,34%","64.480.100,00","11.014.400.000,00","0,42","1,77%","Exploração de Imóveis","Exploração de Imóveis","BR MALLS PARTICIPAÇÔES S/A ON","ON"
"IMBI3","5,01","-46,42","2,81","2.659,020","0,00%","0,518","-2,21","-97,12","-0,37","-104,72","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%","Transporte","Serviços de Apoio e Armazenagem","COMPANHIA DOCAS DE IMBITUBA ON","ON"
"RAPT3","5,82","-45,79","1,40","0,804","0,75%","0,424","1,16","27,49","11,57","34,64","2,92%","0,56%","2,37","2,58%","-3,06%","43.917,60","1.434.180.000,00","1,51","-11,31%","Material de Transporte","Material Rodoviário","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES ON N1","ON N1"
"CLAN4","3,00","-44,92","0,47","15,151","0,00%","0,406","-15,50","-82,56","-6,36","-97,43","-18,35%","-33,73%","0,73","-0,50%","-1,05%","0,00","1.012.240.000,00","0,08","-63,96%","Alimentos","Grãos e Derivados","CLARION PN","PN"
"EBTP3","10,21","-43,56","1,17","0,548","0,00%","0,353","-502,47","6,42","-0,73","8,46","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%","Telefonia Fixa","Telefonia Fixa","EMBRATEL PARTICIPAÇÕES SA ON","ON"
"WLMM3","13,50","-43,00","1,17","1,081","0,00%","0,952","4,02","-25,75","5,74","-23,62","-4,20%","-2,29%","3,11","-4,31%","-2,71%","314,50","421.287.000,00","0,00","-21,16%","Comércio","Material de Transporte","WLM ON","ON"
"EBTP4","10,00","-42,66","1,14","0,537","0,00%","0,346","-492,13","6,29","-0,71","8,33","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%","Telefonia Fixa","Telefonia Fixa","EMBRATEL PARTICIPAÇÕES SA PN","PN"
"BRFS3","46,22","-42,16","3,31","1,140","0,00%","0,781","4,48","27,65","-2,59","38,74","4,12%","-2,67%","1,62","4,17%","-7,84%","135.517.000,00","11.361.900.000,00","2,11","2,80%","Alimentos","Carnes e Derivados","BRF Foods ON NM","ON NM"
"FBRA4","34,58","-39,57","1,66","0,457","0,00%","0,738","18,94","7,40","-17,67","10,62","6,18%","-1,15%","1,11","11,94%","-4,20%","0,00","213.406.000,00","0,77","12,48%","","","FERTIBRÁS S/A PN","PN"
"BRTP4","20,81","-39,19","1,43","0,681","0,00%","0,399","5,23","3,51","-1,40","5,03","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%","Telefonia Fixa","Telefonia Fixa","BRASIL TELECOM PARTICIPAÇÕES S.A. PN N1","PN N1"
"MSPA3","41,70","-38,05","0,28","1,698","13,55%","0,172","1,27","51,20","-0,83","48,25","3,32%","-4,46%","3,62","0,35%","-0,75%","2.868,00","941.540.000,00","0,04","25,58%","Madeira e Papel","Papel e Celulose","MELHORAMENTOS ON","ON"
